region,district,town,address,station_num,station_code,total_const,received_ballot,voted_total,voted_early,early_perc,voted_home,voted_at_station,dmitr,kanop,luka,luka_perc,tikha,tikha_perc,chere,against_all,invalid_ballots,received_by_comission,damaged_ballots,unused_ballots
Брестская,Брест - Ленинский,Брест,"ул. Гоголя, 7, УО «Брестский государственный музыкальный колледж имени Г. Ширмы»",1,01-010-0001,1656,1329,1319,252,15.217391304347828,4,1063,21,16,464,35.17816527672479,701,53.14632297194844,16,96,5,1660,1,330
Брестская,Брест - Ленинский,Брест,"ул. Героев обороны Брестской крепости, 78, УО «Брестский государственный торгово-технологический колледж»",2,01-010-0002,2646,2249,2249,707,26.71957671957672,37,1505,43,25,994,44.19742107603379,948,42.15206758559359,32,194,13,2670,0,421
Брестская,Брест - Ленинский,Брест,"ул. Пригородная, 25, УО «Брестское государственное областное училище олимпийского резерва»",4,01-010-0004,1805,1717,1714,537,29.750692520775623,42,1135,32,26,1125,65.63593932322054,395,23.045507584597434,24,97,15,1880,0,163
Брестская,Брест - Ленинский,Брест,"ул. Смирнова, 21, общежитие ОАО «Брестский мясокомбинат»",5,01-010-0005,2270,2122,2122,863,38.01762114537445,23,1236,42,21,1506,70.97078228086711,412,19.415645617342133,50,91,NA,NA,NA,NA
Брестская,Брест - Ленинский,Брест,"ул. Смирнова, 63, ГУО «Средняя школа № 5 г. Бреста»",6,01-010-0006,2746,2383,2383,507,18.463219227967954,20,1856,53,28,923,38.73268988669744,1157,48.55224506924045,48,174,NA,NA,NA,NA
Брестская,Брест - Ленинский,Брест,"ул. Адамковская, 58/1, ГУО «Средняя школа № 27 г. Бреста»",7,01-010-0007,2319,1829,1829,249,10.73738680465718,56,1524,43,19,567,31.000546746856205,1010,55.221432476763255,44,146,NA,NA,NA,NA
Брестская,Брест - Ленинский,Брест,"ул. Бауманская, 40, УП «Брествторчермет»",8,01-010-0008,1955,1772,1772,297,15.191815856777493,56,1419,34,34,803,45.316027088036115,782,44.13092550790068,41,78,NA,NA,NA,NA
Брестская,Брест - Ленинский,Брест,"ул. л-та Рябцева, 110, КУП «Брестский городской ремонтно-строительный трест»",10,01-010-0010,1107,974,973,336,30.35230352303523,6,631,22,10,441,45.32374100719424,443,45.52929085303186,10,47,NA,NA,NA,NA
Брестская,Брест - Ленинский,Брест,"ул. Дубровская, 14, ГУО «Гимназия № 5 г. Бреста»",11,01-010-0011,1995,1807,1807,691,34.636591478696744,13,1103,26,19,984,54.45489762036525,682,37.742114001106806,15,81,NA,NA,NA,NA
Брестская,Брест - Ленинский,Брест,"пр. Машерова, 33, ГУО «Средняя школа № 13 г. Бреста имени В.И.Хована»",15,01-010-0015,1012,914,911,303,29.940711462450594,26,581,21,9,393,43.13940724478595,410,45.00548847420417,21,52,4,1080,1,168
Брестская,Брест - Ленинский,Брест,"ул. Ленина, 70, ГУО «Средняя школа № 18 г. Бреста»",17,01-010-0017,1442,1190,1190,235,16.296809986130377,113,842,6,5,608,51.09243697478991,500,42.016806722689076,7,64,0,1500,0,310
