region,district,town,address,station_num,station_code,total_const,received_ballot,voted_total,voted_early,early_perc,voted_home,voted_at_station,dmitr,kanop,luka,luka_perc,tikha,tikha_perc,chere,against_all,invalid_ballots,received_by_comission,damaged_ballots,unused_ballots
Гомельская,Гомель - Новобелицкий,Гомель,"Гомель, улица Свердлова, 32; помещение государственного учреждения образования «Средняя школа №31 г.Гомеля».",2,03-017-0002,1247,1026,1022,498,39.93584603047314,16,508,7,29,812,79.45205479452055,71,6.947162426614481,5,98,NA,NA,NA,NA
Гомельская,Гомель - Новобелицкий,Гомель,"Гомель, улица Деревообделочная, 1-а; помещение государственного учреждения образования «Средняя школа №41 г.Гомеля».",14,03-017-0014,2799,2276,2272,1324,47.30260807431225,40,908,28,68,1862,81.95422535211267,131,5.765845070422535,23,129,31,2950,1,673
Гомельская,Гомель - Новобелицкий,Гомель,"Гомель, улица Жемчужная, 14а; помещение государственного учреждения образования «Ясли-сад №142 г.Гомеля».",31,03-017-0031,1786,1464,1460,865,48.43225083986562,33,562,11,41,1189,81.43835616438356,68,4.657534246575342,10,141,NA,NA,NA,NA
Гомельская,Гомель - Советский,Гомель,"Гомель, улица Черноморская, 2, помещение для голосования: здание государственного учреждения образования «Средняя школа № 39 г. Гомеля».",6,03-018-0006,2299,1928,1924,1181,51.370160939538934,112,631,19,51,1625,84.45945945945947,101,5.24948024948025,11,117,NA,NA,NA,NA
Гомельская,Гомель - Советский,Гомель,"Гомель, улица Барыкина, 93, помещение для голосования: здание государственного учреждения образования «Средняя школа № 3 г. Гомеля имени Д.Н.Пенязькова».",20,03-018-0020,2719,2257,2254,1368,50.312614931960276,61,825,15,21,1874,83.1410825199645,131,5.811889973380657,10,203,NA,NA,NA,NA
Гомельская,Гомель - Советский,Гомель,"Место нахождения участковой избирательной комиссии: Гомель, улица Барыкина, 93, помещение для голосования: здание государственного учреждения образования «Средняя школа № 3 г. Гомеля имени Д.Н.Пенязькова».",21,03-018-0021,1932,1618,1615,984,50.931677018633536,85,546,13,121,1221,75.60371517027863,139,8.606811145510836,11,101,9,2100,2,480
Гомельская,Гомель - Советский,Гомель,"Гомель, улица 60 лет СССР, 13а, здание государственного учреждения образования «Средняя школа № 32 г. Гомеля».",28,03-018-0028,2848,2383,2379,1409,49.473314606741575,49,921,31,91,1927,81.00042034468264,179,7.524169819251786,21,130,NA,NA,NA,NA
Гомельская,Гомель - Советский,Гомель,"Гомель, проспект Октября, 36, помещение для голосования: здание учреждения образования «Гомельский государственный профессиональный технологический лицей».",37,03-018-0037,1602,1336,1332,866,54.05742821473159,91,375,18,101,887,66.5915915915916,128,9.60960960960961,26,172,NA,NA,NA,NA
Гомельская,Гомель - Советский,Гомель,"Гомель, проспект Октября, 70, помещение для голосования: здание государственного учреждения образования «Средняя школа № 61 г. Гомеля».",44,03-018-0044,2227,1864,1859,1109,49.79793444095195,98,653,11,21,1376,74.01828940290478,191,10.274341043571813,13,247,NA,NA,NA,NA
Гомельская,Гомель - Советский,Гомель,"Гомель, улица Лазурная, 8, помещение для голосования: здание государственного учреждения образования «Гимназия № 51 г. Гомеля».",48,03-018-0048,2339,1991,1988,1252,53.52714835399743,128,608,13,64,1374,69.11468812877264,223,11.217303822937625,19,288,7,2400,2,407
Гомельская,Гомель - Советский,Гомель,"Гомель, улица 70 лет БССР, 27, помещение для голосования: здание государственного учреждения образования «Гимназия № 58 г. Гомеля имени Ф.П.Гааза».",59,03-018-0059,2669,2221,2219,1419,53.16597976770326,90,710,52,104,1748,78.77422262280307,136,6.128886885984678,19,144,16,2800,11,568
Гомельская,Гомель - Железнодорожный,Гомель,"улица  Олимпийская, дом №4; помещение для голосования: здание государственного учреждения образования «Вспомогательная школа-интернат №5 г.Гомеля».",4,03-019-0004,2459,2073,2068,1301,52.90768605124035,18,749,19,67,1653,79.93230174081238,169,8.172147001934237,18,130,12,2553,2,478
Гомельская,Гомель - Железнодорожный,Гомель,"улица Юношеская, дом №4; помещение для голосования: здание специализированного учебно-спортивного учреждения «Детско-юношеская спортивная школа по боксу, стрельбе пулевой г.Гомеля».",10,03-019-0010,2455,2041,2037,247,10.061099796334013,107,1683,25,49,1650,81.00147275405007,138,6.774668630338733,20,151,4,2564,3,520
Гомельская,Гомель - Железнодорожный,Гомель,"микрорайон Костюковка, улица Стекольная, дом № 2; помещение для голосования: здание государственного учреждения образования «Средняя школа № 42 г.Гомеля».",15,03-019-0015,2106,2295,2291,1388,65.90693257359924,54,849,23,14,1889,82.45307725883893,166,7.245744216499345,21,178,NA,NA,NA,NA
Гомельская,Гомель - Железнодорожный,Гомель,"улица  Юбилейная, дом № 7; помещение для голосования: здание государственного учреждения образования «Гомельский областной институт развития образования».",19,03-019-0019,2524,2383,2380,1187,47.02852614896989,37,1156,19,85,1665,69.9579831932773,444,18.65546218487395,25,142,NA,NA,NA,NA
Гомельская,Гомель - Железнодорожный,Гомель,"улица Новополесская, дом № 34; помещение для голосования: здание государственного учреждения образования «Гимназия №56 г.Гомеля имени А.А.Вишневского».",24,03-019-0024,2290,1906,1902,1102,48.12227074235808,27,773,24,80,1552,81.59831756046268,136,7.150368033648791,18,92,NA,NA,NA,NA
Гомельская,Гомель - Железнодорожный,Гомель,"улица Новополесская, дом № 34; помещение для голосования: здание государственного учреждения образования «Гимназия №56 г.Гомеля имени А.А.Вишневского».",25,03-019-0025,1459,1214,1212,774,53.05003427004797,14,424,17,69,957,78.96039603960396,86,7.095709570957095,14,69,NA,NA,NA,NA
Гомельская,Гомель - Железнодорожный,Гомель,"Гомель, проспект Космонавтов, дом № 22; помещение для голосования: здание Дворца культуры открытого акционерного общества «Гомсельмаш».",37,03-019-0037,1948,1611,1608,959,49.2299794661191,27,622,14,68,1280,79.60199004975125,116,7.213930348258707,29,101,NA,NA,NA,NA
Гомельская,Гомель - Железнодорожный,Гомель,"улица Царикова, дом № 20 корпус 2; помещение для голосования: здание общежития  № 6 открытого акционерного общества  «Гомсельмаш».",45,03-019-0045,2412,2043,2039,1272,52.736318407960205,29,738,25,134,1610,78.96027464443355,146,7.160372731731241,21,103,NA,NA,NA,NA
Гомельская,Гомель - Железнодорожный,Гомель,"улица Сухого, дом № 22; помещение для голосования: здание государственного учреждения образования «Средняя школа № 55 г.Гомеля».",49,03-019-0049,2256,1468,1468,494,21.897163120567377,13,961,43,22,640,43.596730245231605,620,42.234332425068125,38,92,13,2365,0,897
