region,district,town,address,station_num,station_code,total_const,received_ballot,voted_total,voted_early,early_perc,voted_home,voted_at_station,dmitr,kanop,luka,luka_perc,tikha,tikha_perc,chere,against_all,invalid_ballots,received_by_comission,damaged_ballots,unused_ballots
Гродненская,Гродно - Ленинский,Гродно,"государственное учреждение образование (далее – ГУО) “Средняя школа №16 г. Гродно”, г. Гродно, ул. Сухомбаева, 1).",2,04-021-0002,1589,1434,1434,207,13.02706104468219,66,1161,24,14,863,60.1813110181311,456,31.799163179916317,25,52,NA,NA,NA,NA
Гродненская,Гродно - Ленинский,Гродно,"ГУО “Гимназия №10 г. Гродно”, г. Гродно, ул. Дзержинского, 8).",8,04-021-0008,978,897,897,165,16.87116564417178,70,662,21,5,298,33.22185061315496,430,47.93756967670011,18,125,NA,NA,NA,NA
Гродненская,Гродно - Ленинский,Гродно,"Общежитие УО “Гродненский государственный медицинский колледж”, г. Гродно, ул. Горького, 61/1).",11,04-021-0011,1100,1088,1088,428,38.90909090909091,34,626,17,15,701,64.43014705882352,192,17.647058823529413,17,132,14,1100,3,9
Гродненская,Гродно - Ленинский,Гродно,"ГУО “Гимназия №2 г. Гродно”, г. Гродно, ул. Болдина, 10Б).",22,04-021-0022,2215,1971,1971,575,25.95936794582393,58,1338,48,50,1188,60.273972602739725,468,23.74429223744292,26,191,NA,NA,NA,NA
Гродненская,Гродно - Ленинский,Гродно,"ГУО “Гимназия №2 г. Гродно”, г. Гродно, ул. Болдина, 10Б).",23,04-021-0023,1682,1537,1537,561,33.353151010701545,42,934,22,12,878,57.124268054651914,570,37.08523096942095,15,40,NA,NA,NA,NA
Гродненская,Гродно - Ленинский,Гродно,"ГУО «Средняя школа № 7 г. Гродно», г. Гродно, ул. Курчатова, 7).",32,04-021-0032,1047,892,892,229,21.872015281757403,24,639,20,12,455,51.00896860986547,301,33.74439461883408,18,86,NA,NA,NA,NA
Гродненская,Гродно - Ленинский,Гродно,"УО ""Гродненский государственный колледж искусств"", г. Гродно, бульвар Ленинского комсомола, 23).",40,04-021-0040,1365,1319,1319,479,35.09157509157509,62,778,32,63,710,53.82865807429871,376,28.50644427596664,51,87,NA,NA,NA,NA
Гродненская,Гродно - Ленинский,Гродно,"УО ""Гродненский государственный профессиональный электротехнический колледж имени И. Счасного"", г. Гродно, ул. Дзержинского, 41Б).",44,04-021-0044,1667,1602,1602,420,25.19496100779844,17,1165,29,29,929,57.990012484394505,474,29.588014981273407,42,99,NA,NA,NA,NA
Гродненская,Гродно - Ленинский,Гродно,"ГУО «Средняя школа №28 г. Гродно», г. Гродно, ул. Брикеля, 11).",46,04-021-0046,2800,2322,2322,595,21.25,13,1714,29,19,1185,51.03359173126615,1053,45.348837209302324,7,19,10,NA,NA,478
Гродненская,Гродно - Ленинский,Гродно,"ГУО «Средняя школа №28 г. Гродно», г. Гродно, ул. Брикеля, 11).",47,04-021-0047,1480,1080,1070,290,19.594594594594593,15,765,6,7,556,51.96261682242991,460,42.99065420560748,8,26,7,1500,NA,420
Гродненская,Гродно - Ленинский,Гродно,"ГУО «Средняя школа №28 г. Гродно», г. Гродно, ул. Брикеля, 11).",48,04-021-0048,1867,1451,1451,449,24.049276914836636,9,993,15,38,713,49.13852515506547,620,42.72915230875258,11,38,13,1900,3,411
Гродненская,Гродно - Ленинский,Гродно,"клуб филиала №5 “Гродненский комбинат строительных материалоы ОАО “Красносельскстройматериалы”, г. Гродно, ул. Горького, 100).",62,04-021-0062,1794,1668,1668,511,28.483835005574136,39,1118,5,3,997,59.772182254196636,640,38.36930455635492,8,7,8,1800,4,128
Гродненская,Гродно - Октябрьский,Гродно,"ГУО “Средняя школа №15 имени Д.М. Карбышева г. Гродно”, г. Гродно, ул. Мира, 15)",66,04-022-0066,2294,2207,2207,1124,48.99738448125545,58,1025,62,48,1483,67.19528772088809,307,13.910285455369278,67,240,NA,NA,NA,NA
Гродненская,Гродно - Октябрьский,Гродно,"учереждение образования (далее – УО) “Гродненский колледж экономики и управления” Белкоопсоюза, г. Гродно, ул. Поповича, 2)",67,04-022-0067,2084,1668,1668,351,16.842610364683303,37,1280,47,29,427,25.599520383693047,1002,60.07194244604317,35,128,NA,NA,NA,NA
Гродненская,Гродно - Октябрьский,Гродно,"ул. Поповича, 1, УО “Гродненское государственное училище олимпийского резерва”",68,04-022-0068,2291,2071,2071,789,34.43910955914448,83,1199,35,29,1101,53.16272332206663,728,35.15210043457267,37,141,NA,NA,NA,NA
Гродненская,Гродно - Октябрьский,Гродно,"УЗ “Городская клиническая больница скорой медицинской помощи г. Гродно”, г. Гродно, ул. Советских Пограничников, 115",69,04-022-0069,2087,1668,1668,351,16.818399616674654,37,1280,47,29,427,25.599520383693047,1002,60.07194244604317,35,128,NA,NA,NA,NA
Гродненская,Гродно - Октябрьский,Гродно,"ГУО “Средняя школа №19 г. Гродно”, г. Гродно, ул. Головичи, 28)",70,04-022-0070,2293,1937,1937,343,14.958569559529,72,1522,7,6,881,45.48270521424884,1034,53.381517811048006,4,5,NA,NA,NA,NA
Гродненская,Гродно - Октябрьский,Гродно,"ГУО “Средняя школа №37 г. Гродно”, г. Гродно, ул. Соломовой, 155",74,04-022-0074,2497,2403,2403,698,27.953544253103722,6,1699,55,30,1015,42.23886808156471,1214,50.52018310445276,45,44,NA,NA,NA,NA
Гродненская,Гродно - Октябрьский,Гродно,"ГУО “Гимнация №4 г. Гродно”, г. Гродно, ул. Репина, 17",75,04-022-0075,2093,2014,2014,813,38.843764930721456,36,1165,19,15,1119,55.561072492552135,808,40.11916583912612,18,24,11,2100,1,85
Гродненская,Гродно - Октябрьский,Гродно,"ГУО “Гимназия №4 г. Гродно”, г. Гродно, ул. Репина, 17",76,04-022-0076,2089,2009,2009,823,39.396840593585445,40,1146,40,24,1175,58.4868093578895,591,29.417620706819314,36,131,12,2100,3,88
