region,district,town,address,station_num,station_code,total_const,received_ballot,voted_total,voted_early,early_perc,voted_home,voted_at_station,dmitr,kanop,luka,luka_perc,tikha,tikha_perc,chere,against_all,invalid_ballots,received_by_comission,damaged_ballots,unused_ballots
Минская,Березинский,г. Березино,"г. Березино, ул. М.Романович, д. 11 государственное учреждение образования «Средняя школа № 3 г. Березино»",4,05-025-0004,2791,2287,2287,1247,44.67932640630599,29,1011,5,8,2028,88.67512024486226,51,2.229995627459554,3,192,NA,NA,NA,NA
Минская,Березинский,аг. Богушевичи,"аг. Богушевичи, ул. Коваленка, д. 63, административное здание Богушевичского сельского исполнительного комитета",13,05-025-0013,401,391,391,155,38.65336658354115,49,236,4,3,361,92.32736572890026,10,2.557544757033248,2,11,NA,NA,NA,NA
Минская,Борисовский,Борисов,"Борисов, пр. Революции, 23, клуб в/ч 19293.",5,05-026-0005,741,575,575,262,35.35762483130904,16,297,10,8,329,57.21739130434783,189,32.869565217391305,5,34,NA,NA,NA,NA
Минская,Борисовский,Борисов,"Борисов, ул.50 лет БССР, 27, ГУО «Средняя школа № 2 Борисова».",9,05-026-0009,2468,2277,2245,835,33.83306320907617,2,1408,55,78,1083,48.24053452115813,795,35.4120267260579,61,173,NA,NA,NA,NA
Минская,Борисовский,Борисов,"Борисов, ул.Трусова, 26, ГУО «Средняя школа № 20 Борисова».",10,05-026-0010,1950,1950,1950,940,48.205128205128204,15,995,54,43,1301,66.71794871794872,365,18.71794871794872,60,97,30,1960,2,8
Минская,Борисовский,Борисов,"Борисов, ул.Трусова, 41, ГУО «Ясли-сад № 47 Борисова».",11,05-026-0011,2025,1647,1647,729,36,17,901,20,16,636,38.61566484517304,855,51.91256830601093,21,99,NA,NA,NA,NA
Минская,Борисовский,Борисов,"Борисов, ул.Трусова, 26, ГУО «Средняя школа № 20 Борисова».",12,05-026-0012,2766,2573,2573,1485,53.68763557483731,11,1077,26,16,1912,74.3101438010105,440,17.10066070734551,23,156,NA,NA,NA,NA
Минская,Борисовский,Борисов,"Борисов, бульвар Гречко, 28, ГУО «Гимназия № 1 Борисова».",14,05-026-0014,2559,2397,2397,1139,44.5095740523642,31,1227,41,21,1301,54.276178556529,860,35.878181059657905,39,135,NA,NA,NA,NA
Минская,Борисовский,Борисов,"Борисов, бульвар Гречко, 17, ГУО «Ясли - сад JV2 38 Борисова».",15,05-026-0015,1295,997,997,522,40.308880308880305,19,456,24,24,788,79.037111334002,89,8.926780341023068,26,46,NA,NA,NA,NA
Минская,Борисовский,Борисов,"Борисов, бульвар Гречко, 28, ГУО «Гимназия № 1 Борисова».",16,05-026-0016,1287,1068,1068,413,32.09013209013209,17,638,45,26,424,39.70037453183521,489,45.78651685393258,28,56,NA,NA,NA,NA
Минская,Борисовский,Борисов,"Борисов, ул.Галицкого, 13, ГУО «Ясли-сад № 43 Борисова».",17,05-026-0017,1237,1089,1089,353,28.53678253839935,6,730,21,19,729,66.94214876033058,198,18.181818181818183,20,102,NA,NA,NA,NA
Минская,Борисовский,Борисов,"Борисов, ул.50 лет БССР, 33, ГУО «Средняя школа № 18 Борисова».",18,05-026-0018,NA,NA,1749,NA,NA,NA,NA,93,98,1225,70.04002287021154,209,11.949685534591195,67,57,NA,NA,NA,NA
