region,district,town,address,station_num,station_code,total_const,received_ballot,voted_total,voted_early,early_perc,voted_home,voted_at_station,dmitr,kanop,luka,luka_perc,tikha,tikha_perc,chere,against_all,invalid_ballots,received_by_comission,damaged_ballots,unused_ballots
Минск,Заводской,Минск,"ул. Герасименко, 48, государственное учреждение образования «Средняя школа № 173 г.Минска»",1,07-001-0001,2131,1599,1599,703,32.9892069450962,17,879,31,73,727,45.465916197623514,535,33.45841150719199,56,153,24,2220,1,621
Минск,Заводской,Минск,"ул. Герасименко, 48, государственное учреждение образования «Средняя школа № 173 г.Минска»",3,07-001-0003,1311,787,780,459,35.01144164759725,7,314,15,54,418,53.58974358974359,182,23.333333333333332,42,60,9,1375,0,588
Минск,Заводской,Минск,"ул. Герасименко, 48, государственное учреждение образования «Средняя школа № 173 г.Минска»",5,07-001-0005,1888,1735,1735,660,34.95762711864407,17,1058,25,77,820,47.262247838616716,644,37.11815561959654,47,112,10,1985,10,240
Минск,Заводской,Минск,"ул. Нестерова, 80, государственное учреждение образования «Гимназия № 21 г.Минска»",7,07-001-0007,1963,1197,1187,661,33.6729495669893,32,494,38,77,726,61.1625947767481,167,14.069081718618365,66,98,15,2000,8,800
Минск,Заводской,Минск,"ул. Герасименко, 10, государственное учреждение образования «Средняя школа № 162 г.Минска»",8,07-001-0008,1631,1010,1010,197,12.078479460453709,19,794,18,13,276,27.32673267326733,615,60.89108910891089,21,65,2,1660,1,649
Минск,Заводской,Минск,"ул. Нестерова, 80, государственное учреждение образования «Гимназия № 21 г.Минска»",9,07-001-0009,1951,1210,1209,628,32.18862121988724,30,551,24,85,765,63.27543424317618,170,14.061207609594707,63,87,15,1995,1,784
Минск,Заводской,Минск,"ул. Герасименко, 10, государственное учреждение образования «Средняя школа № 162 г.Минска»",10,07-001-0010,1798,1151,1151,170,9.454949944382648,10,971,16,19,269,23.370981754995658,751,65.24761077324067,24,60,NA,1760,12,609
Минск,Заводской,Минск,"ул. Герасименко, 21, государственное учреждение образования «Средняя школа № 141 г.Минска»",11,07-001-0011,1787,1072,1057,372,20.817011751538892,16,669,20,84,639,60.45411542100284,162,15.32639545884579,56,83,13,1880,0,808
Минск,Заводской,Минск,"ул. Герасименко, 21, государственное учреждение образования «Средняя школа № 141 г.Минска»",12,07-001-0012,1440,1138,1138,445,30.90277777777778,21,672,12,7,572,50.26362038664324,500,43.936731107205624,7,31,9,1570,1,349
Минск,Заводской,Минск,"ул. Герасименко, 21, государственное учреждение образования «Средняя школа № 141 г.Минска»",13,07-001-0013,1156,694,691,381,32.95847750865052,10,300,16,49,425,61.50506512301013,103,14.905933429811865,35,63,NA,NA,NA,NA
Минск,Заводской,Минск,"ул. Ангарская, 88, детская музыкальная школа № 2 им. Н.А.Аладова",14,07-001-0014,1641,1034,1030,541,32.96770262035344,17,472,23,67,640,62.13592233009708,162,15.728155339805824,50,76,12,1720,2,684
Минск,Заводской,Минск,"ул. Герасименко, 7, государственное учреждение образования «Средняя школа № 8 г.Минска»",15,07-001-0015,1833,1159,1150,572,31.20567375886525,52,528,22,78,678,58.95652173913043,180,15.65217391304348,62,130,NA,NA,NA,NA
Минск,Заводской,Минск,"ул. Герасименко, 7, государственное учреждение образования «Средняя школа № 8 г.Минска»",16,07-001-0016,1948,1498,1487,519,26.642710472279262,12,956,18,14,889,59.784801613987895,402,27.034297242770677,43,104,17,1950,2,450
Минск,Заводской,Минск,"пер. Охотский, 17, государственное учреждение образования «Средняя школа № 68 г.Минска»",18,07-001-0018,1684,1078,1078,564,33.4916864608076,26,488,25,84,636,58.998144712430424,168,15.584415584415584,53,90,22,1725,5,642
Минск,Заводской,Минск,"ул. Ангарская, 24, государственное учреждение образования «Средняя школа № 109 г.Минска»",19,07-001-0019,1940,1207,1203,642,33.092783505154635,15,546,25,75,770,64.00665004156276,211,17.539484621778886,56,66,NA,NA,NA,NA
