region,district,town,address,station_num,station_code,total_const,received_ballot,voted_total,voted_early,early_perc,voted_home,voted_at_station,dmitr,kanop,luka,luka_perc,tikha,tikha_perc,chere,against_all,invalid_ballots,received_by_comission,damaged_ballots,unused_ballots
Могилевская,Бобруйск - Первомайский,Бобруйск,"улица Сикорского, 14, ГУО «Ясли-сад № 78 г. Бобруйска»",50,06-012-0050,1830,1543,1543,847,46.28415300546448,2,694,22,13,1313,85.09397278029812,170,11.01749837977965,11,14,NA,NA,NA,NA
Могилевская,Бобруйск - Первомайский,Бобруйск,"ул. Сикорского, 20, детский подростковый клуб «Спутник» ГУО «Центр дополнительного образования детей и молодежи «Росквiт» («Росквит») г.Бобруйска»",56,06-012-0056,2115,1740,1740,642,30.354609929078013,32,1056,23,10,1113,63.96551724137931,442,25.402298850574713,38,114,NA,NA,NA,NA
Могилевская,Бобруйск - Первомайский,Бобруйск,"ул.Батова, 22, ГУО «Ясли-сад № 81 г. Бобруйска»",59,06-012-0059,2566,2136,2136,1138,44.34918160561185,16,982,21,19,1812,84.8314606741573,146,6.835205992509364,37,101,NA,NA,NA,NA
Могилевская,Бобруйск - Первомайский,Бобруйск,"ул. Ульяновская, 106, общежитие КУП «ЖРЭУ Первомайского района г.Бобруйска»",67,06-012-0067,1299,1173,1172,453,34.8729792147806,5,714,20,7,664,56.655290102389074,412,35.153583617747444,28,41,NA,NA,NA,NA
Могилевская,Бобруйск - Первомайский,Бобруйск,"ул.Ульяновская, 35/31, ГУК «Дворец искусств г.Бобруйска»",76,06-012-0076,2360,2248,2243,600,25.423728813559322,53,1590,4,10,1597,71.19928666963887,615,27.41863575568435,5,12,NA,NA,NA,NA
Могилевская,Бобруйск - Первомайский,Бобруйск,"ул.Ульяновская, 35А, ГУО «Детская школа искусств № 2 г.Бобруйска имени В.В.Оловникова»",77,06-012-0077,1626,1262,1262,408,25.092250922509223,50,804,12,15,618,48.96988906497623,507,40.1743264659271,19,67,24,1726,NA,464
Могилевская,Бобруйск - Первомайский,Бобруйск,"ул.Ульяновская, 27, ГУО «Средняя школа № 30 г. Бобруйска»",78,06-012-0078,1133,973,971,501,44.2188879082083,35,435,3,4,824,84.86096807415035,90,9.268795056642636,5,45,NA,NA,NA,NA
Могилевская,Бобруйск - Первомайский,Бобруйск,"ул.Ульяновская, 27А, ГУО «Гимназия № 1 г.Бобруйска»",80,06-012-0080,1334,862,862,115,8.620689655172415,103,644,15,17,280,32.48259860788863,480,55.68445475638051,14,56,NA,NA,NA,NA
Могилевская,Бобруйск - Первомайский,Бобруйск,"ул.Ульяновская, 27А, ГУО «Гимназия № 1 г.Бобруйска»",81,06-012-0081,2018,1396,1396,180,8.919722497522299,122,1094,28,21,432,30.945558739255013,680,48.71060171919771,20,215,NA,NA,NA,NA
Могилевская,Бобруйск - Первомайский,Бобруйск,"ул.50 лет ВЛКСМ, 25, общежитие КУП «ЖРЭУ Первомайского района г.Бобруйска»",82,06-012-0082,988,849,849,269,27.226720647773277,62,518,12,29,521,61.36631330977621,242,28.504122497055363,6,39,NA,NA,NA,NA
Могилевская,Бобруйск - Первомайский,Бобруйск,"ул.50 лет ВЛКСМ, 13, общежитие КУП «ЖРЭУ Первомайского района г.Бобруйска»",83,06-012-0083,1011,814,814,533,52.720079129574685,7,274,6,4,606,74.44717444717445,161,19.77886977886978,6,31,NA,NA,NA,NA
Могилевская,Бобруйск - Первомайский,Бобруйск,"ул.Лынькова, 23, ГУО «Средняя школа № 20 г. Бобруйска»",84,06-012-0084,1988,1579,1579,516,25.95573440643863,18,1045,19,15,1065,67.44775174160861,405,25.64914502849905,11,64,NA,NA,NA,NA
Могилевская,Бобруйск - Первомайский,Бобруйск,"ул.Лынькова, 23, ГУО «Средняя школа № 20 г. Бобруйска»",85,06-012-0085,1681,1357,1354,453,26.948245092207017,54,847,8,13,926,68.38995568685377,351,25.9231905465288,3,53,NA,NA,NA,NA
Могилевская,Бобруйск - Первомайский,Бобруйск,"ул.Гоголя, 194А, ГУО «Ясли-сад № 82 г. Бобруйска»",87,06-012-0087,2384,1870,1864,357,14.974832214765103,115,1392,52,28,1485,79.66738197424893,154,8.261802575107296,47,98,NA,NA,NA,NA
Могилевская,Бобруйск - Первомайский,Бобруйск,"ул.Черняховского, 27, ГУО «Средняя школа № 25 г. Бобруйска»",91,06-012-0091,2123,1799,1791,828,39.001413094677346,45,918,28,20,1506,84.08710217755444,197,10.999441652707985,10,30,NA,NA,NA,NA
Могилевская,Бобруйск - Ленинский,Бобруйск,"ул.Социалистическая, д.160, ГУО «Средняя школа №1 г.Бобруйска».",10,06-013-0010,2525,2113,2113,1016,40.23762376237624,24,1073,21,75,1230,58.21107430194037,708,33.506862281116895,21,58,NA,NA,NA,NA
Могилевская,Бобруйск - Ленинский,Бобруйск,"ул.Минская, д.83-а, ГУО «Средняя школа №26 г.Бобруйска».",14,06-013-0014,1360,1277,1277,353,25.955882352941178,45,879,24,15,792,62.02036021926391,363,28.425998433829285,19,64,NA,NA,NA,NA
Могилевская,Бобруйск - Ленинский,Бобруйск,"ул.Октябрьская, д.149-а, ГУКДП «Межрайонный домостроительный комбинат».",17,06-013-0017,1781,1518,1515,381,21.392476137001683,13,985,34,17,787,51.947194719471945,536,35.37953795379538,5,136,NA,NA,NA,NA
Могилевская,Бобруйск - Ленинский,Бобруйск,"ул.Пушкина, д.245, ГУО «Средняя школа №27 г.Бобруйска».",20,06-013-0020,1799,1487,1487,293,16.286826014452473,295,894,26,33,648,43.577673167451245,623,41.89643577673167,36,121,NA,NA,NA,NA
Могилевская,Бобруйск - Ленинский,Бобруйск,"общежитие КУП «Жилищное ремонтноэксплуатационное управление Ленинского района г.Бобруйска», б-р Молодежный, д.5.",21,06-013-0021,1790,1651,1651,610,34.07821229050279,32,1009,50,20,532,32.2228952150212,815,49.36402180496668,57,156,21,1860,NA,209
Могилевская,Бобруйск - Ленинский,Бобруйск,"ул.Социалистическая, д.119, ГУО «Гимназия №3 г.Бобруйска».",38,06-013-0038,1659,1463,1463,734,44.24352019288728,15,714,14,8,844,57.68967874231032,512,34.99658236500342,13,66,6,1660,NA,196
Могилевская,Бобруйск - Ленинский,Бобруйск,"ул.Семенова, д.34, ГУО «Средняя школа №17 г.Бобруйска».",48,06-013-0048,1529,1447,1447,570,37.27926749509483,69,808,14,12,950,65.65307532826537,383,26.468555632342778,21,67,NA,NA,NA,NA
Могилевская,Могилев - Октябрьский,Могилев,"ул. Автозаводская, д. 1, Дом культуры филиала ОАО «БЕЛАЗ» - управляющая компания холдинга «БЕЛАЗ- ХОЛДИНГ» - «Могилевский автомобильный завод имени С.М. Кирова».",88,06-023-0088,1838,1586,1581,801,43.57997823721436,40,740,18,31,1347,85.19924098671727,51,3.225806451612903,19,115,NA,NA,NA,NA
Могилевская,Могилев - Октябрьский,Могилев,"ул. Ярославская, д. 12, ГУДО «Центр туризма, экскурсий и краеведения детей и молодежи «Криница» г. Могилева».",91,06-023-0091,1711,1471,1464,657,38.39859731151373,71,736,16,25,1079,73.70218579234972,34,2.3224043715846996,13,162,135,1800,NA,329
Могилевская,Могилев - Октябрьский,Могилев,"ул. Мовчанского, д. 33, ГУО «Средняя школа № 39 г. Могилева».",95,06-023-0095,2541,2332,2329,1132,44.54939000393546,19,1178,18,39,1984,85.18677544010305,47,2.01803349076857,21,220,NA,NA,NA,NA
Могилевская,Могилев - Октябрьский,Могилев,"ул. Мовчанского, д. 33, ГУО «Средняя школа № 39 г. Могилева».",96,06-023-0096,2723,2502,2499,1208,44.3628351083364,26,1265,20,42,2129,85.19407763105242,51,2.0408163265306123,22,175,60,2800,NA,298
Могилевская,Могилев - Октябрьский,Могилев,"ул. Мовчанского, д. 47, ГУО «Могилевская городская гимназия № 1».",97,06-023-0097,1728,1642,1642,742,42.93981481481482,13,887,12,24,1211,73.75152253349574,164,9.987819732034104,15,181,35,1800,NA,158
Могилевская,Могилев - Октябрьский,Могилев,"ул. Мовчанского, д. 47, ГУО «Могилевская городская гимназия 1».",98,06-023-0098,2000,1875,1875,934,46.7,14,927,15,29,1440,76.8,167,8.906666666666666,13,170,41,2100,NA,225
Могилевская,Могилев - Октябрьский,Могилев,"ул. Фатина, д. 12, ГУО «Средняя школа № 41 г. Могилева».",101,06-023-0101,2754,2327,2327,1212,44.008714596949886,14,1101,26,35,1982,85.17404383326172,90,3.867640739149119,26,168,NA,NA,NA,NA
Могилевская,Могилев - Октябрьский,Могилев,"ул. Фатина, д. 12, ГУО «Средняя школа № 41 г. Могилева».",102,06-023-0102,2619,2478,2478,1144,43.68079419625811,19,1315,25,37,2111,85.18966908797417,109,4.398708635996772,30,166,NA,NA,NA,NA
Могилевская,Могилев - Октябрьский,Могилев,"ул. Мовчанского, д. 22, ГУО «Учебно-педагогический комплекс детский сад - средняя школа № 42 г. Могилева».",103,06-023-0103,2714,2307,2307,1167,42.99926308032425,15,1125,32,39,1949,84.48201127004768,94,4.074555700043346,21,172,NA,NA,NA,NA
Могилевская,Могилев - Октябрьский,Могилев,"ул. Мовчанского, д. 22, ГУО «Учебно-педагогический комплекс детский сад - средняя школа № 42 г. Могилева».",104,06-023-0104,2888,2450,2459,1201,41.58587257617729,24,1234,30,25,2085,84.79056527043514,102,4.14802765351769,26,191,NA,NA,NA,NA
Могилевская,Могилев - Октябрьский,Могилев,"ул. Гагарина, д. 1, ГУ «Хоккейный клуб «Могилев».",109,06-023-0109,2315,2063,2063,1197,51.706263498920094,12,854,5,14,1821,88.26951042171595,50,2.423654871546292,7,118,48,2400,337,NA
Могилевская,Могилев - Октябрьский,Могилев,"бул. Непокоренных, д. 25, административное здание ОАО «Строительный трест № 17 ордена Трудового Красного Знамени».",116,06-023-0116,1730,1487,1485,771,44.566473988439306,4,710,15,25,1288,86.73400673400673,38,2.558922558922559,10,109,NA,NA,NA,NA
Могилевская,Могилев - Октябрьский,Могилев,"пер. Тютчева, д. 2в, ГУО «Учебно-педагогический комплекс «Ясли-сад — средняя школа № 44 г. Могилева».",119,06-023-0119,2880,2537,2537,892,30.97222222222222,86,1559,29,31,2211,87.15017737485219,113,4.454079621600315,26,116,11,3000,NA,463
Могилевская,Могилев - Октябрьский,Могилев,"бул. Непокоренных, д. 13а, ГУО «Средняя школа № 5 г. Могилева».",132,06-023-0132,1093,923,918,458,41.903019213174744,54,406,12,15,780,84.9673202614379,21,2.287581699346405,14,64,12,1200,6,271
