region,district,town,address,station_num,station_code,total_const,received_ballot,voted_total,voted_early,early_perc,voted_home,voted_at_station,dmitr,kanop,luka,luka_perc,tikha,tikha_perc,chere,against_all,invalid_ballots,received_by_comission,damaged_ballots,unused_ballots
Витебская,Витебск - Железнодорожный,Витебск,"помещение Витебского филиала учреждения образования «Белорусская государственная академия связи» г. Витебск, ул. Ильинского, д.45.",3,02-014-0003,2123,1550,1550,856,40.32030146019783,47,647,15,8,1270,81.93548387096774,109,7.03225806451613,39,109,NA,2200,NA,650
Витебская,Витебск - Железнодорожный,Витебск,"помещение государственного учреждения образования «Средняя школа № 21 г.Витебска» г. Витебск, ул. Ильинского, д. 27.",5,02-014-0005,1459,1151,1151,531,36.39479095270733,41,579,14,13,864,75.06516072980017,208,18.071242397914858,26,18,8,1500,NA,349
Витебская,Витебск - Железнодорожный,Витебск,"помещение государственного учреждения образования «Средняя школа № 41 г. Витебска» г. Витебск, ул. 4-я Тираспольская, д.15.",12,02-014-0012,1219,1269,1269,447,36.669401148482365,20,802,13,32,1018,80.22064617809299,91,7.171000788022066,20,95,NA,NA,NA,NA
Витебская,Витебск - Железнодорожный,Витебск,"помещение государственного учреждения образования «Средняя школа № 17 г. Витебска» г. Витебск, ул. Некрасова, д.3.",16,02-014-0016,1696,1238,1238,632,37.264150943396224,43,563,15,10,898,72.53634894991923,261,21.08239095315024,14,40,NA,NA,NA,NA
Витебская,Витебск - Железнодорожный,Витебск,"помещение культурно-спортивного центра УП «Витебское отделение Белорусской железной дороги» г.Витебск ул. Некрасова, д.2а/46.",18,02-014-0018,2476,1888,1888,871,35.17770597738288,26,991,22,14,1471,77.91313559322035,146,7.733050847457627,81,154,NA,NA,NA,NA
Витебская,Витебск - Октябрьский,Витебск,"помещение общежития ОАО «Керамика» г.Витебск, ул. Гагарина, д.105а.",1,02-015-0001,2326,1773,1773,716,30.782459157351678,418,639,11,23,1353,76.31133671742809,343,19.345741680767063,13,17,13,2440,NA,667
Витебская,Витебск - Октябрьский,Витебск,"помещение учреждения образования «Детская школа искусств им. А.В.Богатырева г.Витебска» г.Витебск, пр-т Генерала Людникова, д.14.",9,02-015-0009,1833,1368,1368,792,43.207855973813416,15,561,10,18,1149,83.99122807017544,129,9.429824561403509,14,48,NA,NA,NA,NA
Витебская,Витебск - Октябрьский,Витебск,"помещение государственного учреждения образования «Средняя школа №10 г.Витебска» г.Витебск, ул. Путна, д.3.",15,02-015-0015,1299,991,991,342,26.32794457274827,231,418,19,6,792,79.91927346115035,97,9.788092835519677,16,57,4,1370,NA,379
Витебская,Витебск - Октябрьский,Витебск,"помещение УО «Витебский государственный медицинский колледж имени академика И.П.Антонова» г.Витебск, ул. Правды, д.24.",18,02-015-0018,2271,1494,1494,546,24.042272126816382,12,936,39,10,621,41.566265060240966,674,45.11378848728246,24,126,NA,NA,NA,NA
Витебская,Витебск - Октябрьский,Витебск,"помещение государственного учреждения образования «Средняя школа №44 г. Витебска» г.Витебск, пр-т Фрунзе, д.96.",25,02-015-0025,1889,1258,1255,324,17.151932239280043,9,925,28,12,364,29.00398406374502,672,53.54581673306773,48,129,2,2000,1,741
Витебская,Витебск - Октябрьский,Витебск,"помещение государственного учреждения образования «Средняя школа №44 г. Витебска» г.Витебск, пр-т Фрунзе, д.96.",26,02-015-0026,2053,1563,1563,609,29.663906478324403,20,934,31,10,1204,77.03134996801023,206,13.179782469609725,27,85,NA,NA,NA,NA
Витебская,Витебск - Октябрьский,Витебск,"помещение государственного учреждения образования «Средняя школа №6 г. Витебска» г.Витебск, ул. Лазо, д.15.",27,02-015-0027,1579,1146,1146,468,29.63901203293224,48,630,11,18,954,83.24607329842932,128,11.169284467713787,6,26,3,1660,NA,514
Витебская,Витебск - Октябрьский,Витебск,"помещение государственного учреждения образования «Вспомогательная школа №26 г.Витебска» г.Витебск, ул. Чапаева, д.29.",29,02-015-0029,2320,1717,1716,954,41.12068965517241,70,692,7,11,1383,80.5944055944056,176,10.256410256410255,9,130,NA,NA,NA,NA
Витебская,Витебск - Октябрьский,Витебск,"помещение государственного учреждения образования «Вспомогательная школа №26 г.Витебска» г.Витебск, ул. Чапаева, д.29.",30,02-015-0030,1583,1259,1259,635,40.11370814908402,84,540,24,3,1062,84.35266084193805,116,9.213661636219221,23,29,2,NA,NA,NA
Витебская,Витебск - Октябрьский,Витебск,"помещение государственного учреждения образования «Средняя школа №29 г.Витебска им. В.В.Пименова» г.Витебск, ул. 26 Июня, д.6.",31,02-015-0031,1976,1422,1422,647,32.74291497975709,26,749,3,2,1238,87.0604781997187,169,11.884669479606188,3,7,NA,NA,NA,NA
Витебская,Витебск - Октябрьский,Витебск,"помещение морфологического корпуса УО «Витебский государственный ордена Дружбы народов медицинский университет» г.Витебск, пр-т Фрунзе, д.23/1.",35,02-015-0035,1780,1303,1300,620,34.831460674157306,70,610,9,21,1105,85,131,10.076923076923077,12,21,1,1870,0,567
Витебская,Витебск - Октябрьский,Витебск,"помещение комитета по труду, занятости и социальной защите Витебского облисполкома г.Витебск, ул. Правды, д.32.",40,02-015-0040,1725,1385,1380,692,40.11594202898551,50,638,3,5,1108,80.28985507246377,223,16.159420289855074,2,39,NA,NA,NA,NA
Витебская,Витебск - Октябрьский,Витебск,"помещение государственного учреждения образования «Средняя школа №28 г.Витебска» г.Витебск, ул. Правды, д.43.",42,02-015-0042,2540,1988,1988,1008,39.68503937007874,12,968,30,11,1621,81.53923541247485,237,11.921529175050303,43,46,NA,NA,NA,NA
Витебская,Витебск - Октябрьский,Витебск,"помещение государственного учреждения образования «Средняя школа №28 г.Витебска» г.Витебск, ул. Правды, д.43.",43,02-015-0043,2005,1618,1618,869,43.34164588528678,93,656,22,39,1332,82.32385661310259,162,10.012360939431398,34,29,NA,2130,NA,512
Витебская,Витебск - Октябрьский,Витебск,"помещение государственного учреждения образования «Средняя школа №28 г.Витебска» г.Витебск, ул. Правды, д.43.",44,02-015-0044,2151,1693,1693,859,39.9349139934914,83,751,26,18,1392,82.22090962787951,195,11.51801535735381,11,44,7,2280,NA,587
Витебская,Витебск - Октябрьский,Витебск,"помещение УО «Витебский государственный технологический университет» г.Витебск, пр-т Московский, д.72.",45,02-015-0045,982,676,676,370,37.67820773930753,50,256,6,5,488,72.18934911242604,156,23.076923076923077,5,16,NA,1015,1,338
Витебская,Витебск - Первомайский,Витебск,"помещение общежития открытого акционерного общества «Витебский мясокомбинат» г. Витебск,  пр-т Черняховского, д. 26, к. 1.",5,02-016-0005,2034,1821,1821,789,38.7905604719764,46,986,9,14,1598,87.75398132894014,85,4.667764964305326,7,108,NA,NA,NA,NA
Витебская,Витебск - Первомайский,Витебск,"помещение Витебского государственного политехнического колледжа учреждения образования «Витебский государственный технологический университет»  г. Витебск, пр-т Черняховского, д. 14.",6,02-016-0006,892,546,546,124,13.901345291479823,29,393,15,7,195,35.714285714285715,284,52.01465201465202,13,32,NA,NA,NA,NA
Витебская,Витебск - Первомайский,Витебск,"помещение государственного учреждения образования «Средняя школа № 25 г. Витебска» г. Витебск, ул. Чкалова, д. 22.",12,02-016-0012,1505,957,957,265,17.60797342192691,47,645,30,9,472,49.32079414838035,329,34.37826541274817,18,99,NA,NA,NA,NA
Витебская,Витебск - Первомайский,Витебск,"помещение государственного учреждения образования «Средняя школа № 25 г. Витебска»  г. Витебск, ул. Чкалова, д. 22.",13,02-016-0013,2132,1472,1472,355,16.651031894934334,32,1085,5,23,1189,80.77445652173914,102,6.929347826086957,4,135,14,2240,NA,768
Витебская,Витебск - Первомайский,Витебск,"помещение государственного учреждения образования «Средняя школа № 25 г. Витебска» г. Витебск, ул. Чкалова, д. 22.",14,02-016-0014,1861,1267,1267,314,16.872649113379904,35,918,21,10,431,34.01736385161799,666,52.56511444356748,19,120,NA,NA,NA,NA
Витебская,Витебск - Первомайский,Витебск,"помещение государственного учреждения образования «Средняя школа № 31 г. Витебска» г. Витебск, пр-т Московский, д. 15.",15,02-016-0015,1626,1057,1054,437,26.87576875768758,43,577,31,42,862,81.78368121442125,62,5.88235294117647,34,23,NA,NA,NA,NA
Витебская,Витебск - Первомайский,Витебск,"помещение общежития № 3 государственного предприятия «ЖРЭТ г. Витебска» г. Витебск, пр-т Победы, д. 7.",18,02-016-0018,2271,1494,1494,546,24.042272126816382,12,936,39,10,621,41.566265060240966,674,45.11378848728246,24,108,18,2380,NA,886
Витебская,Витебск - Первомайский,Витебск,"помещение общежития открытого акционерного общества «Витебский завод радиодеталей «Монолит» г. Витебск, ул. Гражданская, д. 2.",21,02-016-0021,1956,1720,1720,737,37.67893660531698,22,961,12,22,1492,86.74418604651163,92,5.348837209302325,6,96,NA,NA,NA,NA
Витебская,Витебск - Первомайский,Витебск,"помещение государственного учреждения образования «Средняя школа № 23 г. Витебска» г. Витебск, ул. Максима Горького, д. 61а.",25,02-016-0025,1889,1258,1255,324,17.151932239280043,9,925,28,12,364,29.00398406374502,672,53.54581673306773,48,129,2,2000,1,741
Витебская,Витебск - Первомайский,Витебск,"помещение школы-новостройки в микрорайоне Билево-2 г. Витебск, ул. Богатырева, д. 17.",33,02-016-0033,1458,1170,1170,649,44.51303155006859,0,521,3,2,766,65.47008547008546,374,31.965811965811962,4,21,NA,NA,NA,NA
Витебская,Витебск - Первомайский,Витебск,"помещение здания физкультурно-оздоровительного и спортивного назначения государственного предприятия «Центр недвижимости г. Витебска» г. Витебск,  ул. Чкалова, д. 25в.",35,02-016-0035,2518,2090,2090,946,37.569499602859416,21,1123,19,6,1844,88.22966507177034,194,9.282296650717702,5,16,6,NA,NA,NA
Витебская,Витебск - Первомайский,Витебск,"помещение государственного учреждения образования «Средняя школа № 12 г. Витебска» г. Витебск, ул. Петруся Бровки, д. 7.",39,02-016-0039,1796,1124,1124,502,27.95100222717149,67,555,13,63,781,69.48398576512456,165,14.679715302491104,15,85,2,NA,NA,NA
Витебская,Витебск - Первомайский,Витебск,"помещение государственного учреждения образования «Средняя школа № 12 г. Витебска» г. Витебск, ул. Петруся Бровки, д. 7.",40,02-016-0040,1990,1524,1517,451,22.66331658291457,88,978,83,67,942,62.09624258404747,225,14.831905075807514,46,154,NA,NA,NA,NA
Витебская,Витебск - Первомайский,Витебск,"помещение государственного учреждения образования «Средняя школа № 42 г. Витебска» г. Витебск, ул. Петруся Бровки, д. 23а.",44,02-016-0044,2472,2336,2336,864,34.95145631067961,9,1463,44,24,1445,61.85787671232876,524,22.43150684931507,61,238,NA,NA,NA,NA
Витебская,Витебск - Первомайский,Витебск,"помещение государственного учреждения образования «Гимназия № 8 г. Витебска» г. Витебск, ул. Чкалова, д. 32, к. 7.",47,02-016-0047,2105,1580,1578,679,32.25653206650831,43,856,30,44,1114,70.595690747782,145,9.188846641318124,35,183,27,2200,1,619
Витебская,Витебск - Первомайский,Витебск,"помещение государственного учреждения образования «Гимназия № 8 г. Витебска» г. Витебск,   ул. Чкалова, д. 32, к. 7.",48,02-016-0048,2263,1694,1694,734,32.43482103402563,134,826,37,39,1313,77.50885478158206,142,8.382526564344746,14,149,NA,NA,NA,NA
Витебская,Витебск - Первомайский,Витебск,"помещение государственного учреждения образования «Гимназия № 9 г. Витебска» г. Витебск, пр-т Московский, д. 41а.",59,02-016-0059,1938,1346,1346,449,23.168214654282764,72,825,11,60,883,65.60178306092125,311,23.105497771173848,11,70,NA,NA,NA,NA
Витебская,Витебск - Первомайский,Витебск,"помещение школы-новостройки в микрорайоне Билево-2 г. Витебск, ул. Богатырева, д. 17.",71,02-016-0071,2656,2201,2201,1217,45.82078313253012,14,970,4,2,1670,75.87460245343026,497,22.58064516129032,4,21,3,2800,1,598
Витебская,Браславский,Браслав,"Браслав, ул. Летняя, д.14, помещение государственного учреждения образования «Ясли-сад № 4 г. Браслава»",1,02-065-0001,1499,1450,1450,464,30.953969312875252,205,781,44,11,607,41.86206896551724,672,46.3448275862069,29,77,10,1580,NA,130
Витебская,Браславский,Браслав,"Браслав, ул. Садовая, д.41, помещение государственного учреждения образования «Браславская средняя школа № 1 им. А.М.Жданова».",4,02-065-0004,1277,1009,1009,412,32.26311667971809,37,551,30,15,596,59.068384539147665,298,29.534192269573833,16,54,NA,NA,NA,NA
Витебская,Браславский,г.п. Видзы,"г.п. Видзы, ул. Советская, д.5, помещение Видзовского горпоселкового Дома культуры",7,02-065-0007,1370,1001,1001,379,27.66423357664233,96,526,24,17,504,50.349650349650354,369,36.863136863136866,26,61,NA,NA,NA,NA
Витебская,Браславский,аг. Ахремовцы,"аг. Ахремовцы, ул. Заводская, д.1, помещение государственного учреждения образования «Ахремовская — ясли-сад-средняя школа Браславского района».",15,02-065-0015,523,518,518,211,40.344168260038245,42,265,13,10,247,47.68339768339768,215,41.50579150579151,3,30,NA,NA,NA,NA
Витебская,Верхнедвинский,агрогородок Борковичи,"агрогородок Борковичи, ул. Советская, д. 16 Борковичский сельский исполнительный комитет.",13,02-066-0013,848,776,776,308,36.32075471698113,145,323,25,14,598,77.0618556701031,100,12.886597938144329,22,9,8,860,NA,84
Витебская,Глубокский,Глубокое,"Глубокое, ул. Вольная, д. 21, здание Государственного учреждения образования «Средняя школа № 2 г. Глубокое»",2,02-067-0002,2351,1857,1856,892,37.941301573798384,87,877,1,3,1345,72.46767241379311,418,22.521551724137932,4,50,35,2550,NA,693
Витебская,Глубокский,Глубокое,"Глубокое, ул. Полевая, д. 21, административное здание Глубокского зонального узла электросвязи Витебского филиала РУП «Белтелеком»",5,02-067-0005,1872,1590,1590,815,43.53632478632478,112,663,32,75,1112,69.937106918239,251,15.786163522012577,39,81,NA,NA,NA,NA
Витебская,Глубокский,д. Запрудье,"д. Запрудье, здание филиала № 11 Запрудский дом фольклора Государственного учреждения культуры «Глубокская централизованная клубная система»",10,02-067-0010,515,473,473,130,25.24271844660194,164,343,2,1,305,64.48202959830867,144,30.443974630021142,2,19,NA,NA,NA,NA
Витебская,Глубокский,д. Шуневцы,"д. Шуневцы, административное здание Коммунального дочернего унитарного мелиоративного предприятия «Глубокская ПМК мелиоводхоз»",15,02-067-0015,779,703,703,238,30.551989730423617,71,464,9,5,528,75.10668563300142,121,17.21194879089616,10,30,NA,NA,NA,NA
Витебская,Городокский,д. Прудники,"д. Прудники, помещение Вайханского сельского исполнительного комитета",13,02-068-0013,272,272,272,74,27.205882352941174,134,64,7,5,236,86.76470588235294,14,5.147058823529411,2,8,NA,NA,NA,NA
Витебская,Докшицкий,г.п.Бегомль,"г.п.Бегомль, ул.Советская, д. 7, филиал № 3 «Бегомльский городской Дом культуры» государственного учреждения культуры «Центр традиционной культуры и народного творчества Докшицкого района»",5,02-069-0005,1190,1136,1136,284,23.865546218487395,172,680,24,20,581,51.1443661971831,416,36.61971830985916,21,69,5,1240,NA,104
Витебская,Докшицкий,г.п.Бегомль,"г.п.Бегомль, ул.Манковича, д. 2, государственное учреждение образования «Бегомльская средняя школа Докшицкого района»",6,02-069-0006,1175,1101,1101,274,23.319148936170212,95,732,28,22,520,47.229791099000906,424,38.51044504995459,22,85,NA,NA,NA,NA
Витебская,Лепельский,дер. Домжерицы,"дер. Домжерицы, ул. Центральная, 5, Помещение для голосования: государственное учреждение образования «Домжерицкая базовая школа Лепельского района».",15,02-071-0015,559,461,459,104,18.6046511627907,165,192,9,8,383,83.44226579520696,41,8.932461873638346,5,11,4,585,2,122
Витебская,Лиозненский,агрогородок Адаменки,"агрогородок Адаменки, ул. Витебская, 3, помещение филиала «Дом культуры  агрогородка Адаменки» государственного учреждения культуры «Лиозненская централизованная клубная система».",11,02-072-0011,633,531,531,140,22.11690363349131,200,191,13,15,298,56.12052730696798,163,30.69679849340866,9,33,NA,NA,NA,NA
Витебская,Лиозненский,г.п. Лиозно,"г.п. Лиозно, ул. Безуглого, 9, помещение государственного учреждения образования «Средняя» школа № 1 г.п. Лиозно».",20,02-072-0020,2071,1774,1774,676,32.64123611781748,24,1074,50,23,908,51.18376550169109,562,31.679819616685457,50,172,9,2145,0,371
Витебская,Миорский,Миоры,"Миоры, улица Октябрьская, 28, государственное учреждение образования ”Миорская средняя школа № 2“, корпус № 2.",1,02-073-0001,1949,1507,1507,483,24.78193945613135,62,962,14,12,1351,89.64830789648308,108,7.166556071665561,11,8,3,1965,0,458
Витебская,Миорский,Миоры,"Миоры, улица Свердлова, 11, государственное учреждение образования ”Миорская средняя школа № 2“.",2,02-073-0002,2322,1722,1722,514,22.136089577950045,243,965,15,9,1499,87.0499419279907,172,9.988385598141695,6,14,7,2480,NA,758
